X,Y,ADDRESS,COUNTRY,STATE,CITY,Codigo_Pos,Coordenada,Coordena_1,GAS,NAS,BLOQ,Asignacion,Recuperaci,% GAS,% NAS,% BLOQ,% ASIG,% RECP,result_num,status,formatted_,place_id,location_t,latlong,icon_url
-99.1912897,19.3465231,"alvaro Obregon,CP 01000,CDMX México",México,CDMX,alvaro Obregon,"01000","-99.19105","19.34531","459","415","44","130","18","100","90.41","9.59","28.32","3.92","0",OK,"San Ángel, 01000 Mexico City, CDMX, Mexico",ChIJMz1bAAMA0oUR5_X8fY-O8o0,APPROXIMATE,"19.3465231,-99.19128970000001",./0.png
-99.1940586,19.3611115,"alvaro Obregon,CP 01010,CDMX México",México,CDMX,alvaro Obregon,"01010","-99.1960512","19.3622529","281","264","17","82","23","100","93.95","6.05","29.18","8.19","0",OK,"Los Alpes, 01010 Ciudad de México, CDMX, Mexico",ChIJhbWV4CEA0oURxYVOFnbteIk,APPROXIMATE,"19.3611115,-99.19405859999999",./0.png
-99.185752,19.3585861,"alvaro Obregon,CP 01020,CDMX México",México,CDMX,alvaro Obregon,"01020","-99.1894559","19.3554565","397","374","23","133","29","100","94.21","5.79","33.50","7.30","0",OK,"Guadalupe Inn, 01020 Mexico City, CDMX, Mexico",ChIJWW7MV_T_0YURuddbnbhB-Lc,APPROXIMATE,"19.3585861,-99.185752",./0.png
-99.1802147,19.3559202,"alvaro Obregon,CP 01030,CDMX México",México,CDMX,alvaro Obregon,"01030","-99.1796","19.3585","1610","1538","72","194","42","100","95.53","4.47","12.05","2.61","0",OK,"Axotla, 01030 Ciudad de México, CDMX, Mexico",ChIJdwUnh_L_0YUR-BzCEi0JbaA,APPROXIMATE,"19.3559202,-99.1802147",./0.png
-99.1919819,19.3560616,"alvaro Obregon,CP 01040,CDMX México",México,CDMX,alvaro Obregon,"01040","-99.1896095","19.3588799","135","130","5","21","3","100","96.30","3.70","15.56","2.22","0",OK,"Campestre, 01040 Ciudad de México, CDMX, Mexico",ChIJH-Ii8x4A0oURtS_WrZJP7ME,APPROXIMATE,"19.3560616,-99.1919819",./0.png
-99.1961354,19.3529057,"alvaro Obregon,CP 01049,CDMX México",México,CDMX,alvaro Obregon,"01049","-99.195395","19.353469","158","155","3","36","12","100","98.10","1.90","22.78","7.59","0",OK,"Tlacopac, 01049 Ciudad de México, CDMX, Mexico",ChIJD4K5XxkA0oURldteDcIZiNo,APPROXIMATE,"19.3529057,-99.19613539999999",./0.png
-99.1822911,19.3491873,"alvaro Obregon,CP 01050,CDMX México",México,CDMX,alvaro Obregon,"01050","-99.18443","19.34918","65","62","3","21","4","100","95.38","4.62","32.31","6.15","0",OK,"Agrícola, Chimalistac, 01050 Ciudad de México, CDMX, Mexico",ChIJ89d7jvD_0YURH_nv0FhgCT8,APPROXIMATE,"19.3491873,-99.1822911",./0.png
-99.2668555,19.3734956,"alvaro Obregon,CP 01060,CDMX México",México,CDMX,alvaro Obregon,"01060","-99.19831","19.3469259","586","566","20","54","9","100","96.59","3.41","9.22","1.54","0",OK,"Santa Fe, San Ángel Inn, 01060 Ciudad de México, CDMX, Mexico",ChIJefZXtl8A0oURb06cd43A1UQ,APPROXIMATE,"19.3734956,-99.26685549999999",./0.png
-99.1864442,19.3445588,"alvaro Obregon,CP 01070,CDMX México",México,CDMX,alvaro Obregon,"01070","-99.1867595","19.3431273","129","120","9","29","5","100","93.02","6.98","22.48","3.88","0",OK,"Chimalistac, 01070 Ciudad de México, CDMX, Mexico",ChIJzaSTPfn_0YURdf8vNaKCUYM,APPROXIMATE,"19.3445588,-99.1864442",./0.png
-99.2058279,19.3391597,"alvaro Obregon,CP 01080,CDMX México",México,CDMX,alvaro Obregon,"01080","-99.2105572","19.3367015","260","220","40","158","20","100","84.62","15.38","60.77","7.69","0",OK,"Progreso Tizapán, 01080 Ciudad de México, CDMX, Mexico",ChIJv4NZnwkA0oURed1AIKQ06vk,APPROXIMATE,"19.3391597,-99.20582789999999",./0.png
-99.204097,19.3374064,"alvaro Obregon,CP 01089,CDMX México",México,CDMX,alvaro Obregon,"01089","-99.2049516","19.3365006","4","4","0","4","2","100","100.00","0.00","100.00","50.00","0",OK,"Ermita Tizapán, 01089 Ciudad de México, CDMX, Mexico",ChIJT6RCTAgA0oURTs1JSagpcVA,APPROXIMATE,"19.3374064,-99.20409699999999",./0.png
-99.19752,19.3395802,"alvaro Obregon,CP 01090,CDMX México",México,CDMX,alvaro Obregon,"01090","-99.190055","19.33871","1908","1809","99","183","34","100","94.81","5.19","9.59","1.78","0",OK,"Loreto y Campamento, 01090 Ciudad de México, CDMX, Mexico",ChIJQw7BCwcA0oURL64xYkcuTRQ,APPROXIMATE,"19.3395802,-99.19752",./0.png
-99.20202,19.3934804,"alvaro Obregon,CP 01100,CDMX México",México,CDMX,alvaro Obregon,"01100","-99.2047286","19.3922227","60","45","15","81","5","100","75.00","25.00","135.00","8.33","0",OK,"Pólvora, 01100 Ciudad de México, CDMX, Mexico",ChIJHUYnms8B0oUREODeUlcuj5o,APPROXIMATE,"19.3934804,-99.20201999999999",./0.png
-99.2075588,19.3917263,"alvaro Obregon,CP 01109,CDMX México",México,CDMX,alvaro Obregon,"01109","-99.2067565","19.3561322","52","45","7","40","5","100","86.54","13.46","76.92","9.62","0",OK,"La Conchita, 01109 Ciudad de México, CDMX, Mexico",ChIJg0K_4MgB0oUR_sBl_mQJomE,APPROXIMATE,"19.3917263,-99.2075588",./0.png
-99.2141366,19.3932334,"alvaro Obregon,CP 01110,CDMX México",México,CDMX,alvaro Obregon,"01110","-99.21418","19.39266","2388","1984","404","566","43","100","83.08","16.92","23.70","1.80","0",OK,"Belen de las Flores, 01110 Ciudad de México, CDMX, Mexico",ChIJIeK7600A0oURaIofNr8m42A,APPROXIMATE,"19.3932334,-99.21413659999999",./0.png
-99.2051355,19.3988459,"alvaro Obregon,CP 01120,CDMX México",México,CDMX,alvaro Obregon,"01120","-99.2046679","19.3985958","1164","996","168","194","31","100","85.57","14.43","16.67","2.66","0",OK,"Las Américas, 01120 Ciudad de México, CDMX, Mexico",ChIJb5EisMQB0oURhsAR_4Fyt5k,APPROXIMATE,"19.3988459,-99.2051355",./0.png
-99.2267067,19.3605334,"alvaro Obregon,CP 01125,CDMX México",México,CDMX,alvaro Obregon,"01125","-99.23827","19.422358","6","5","1","18","1","100","83.33","16.67","300.00","16.67","0",OK,"Álvaro Obregón, CDMX, Mexico",ChIJsxIUR4oA0oURW1WtnNGK-zg,APPROXIMATE,"19.3605334,-99.2267067",./0.png
-99.2085974,19.3935148,"alvaro Obregon,CP 01130,CDMX México",México,CDMX,alvaro Obregon,"01130","-99.13636","19.250731","1455","1209","246","435","55","100","83.09","16.91","29.90","3.78","0",OK,"Paraíso, 01130 Ciudad de México, CDMX, Mexico",ChIJQ_QrwsgB0oURGMD5qXPh4ik,APPROXIMATE,"19.3935148,-99.2085974",./0.png
-99.2039239,19.3957773,"alvaro Obregon,CP 01139,CDMX México",México,CDMX,alvaro Obregon,"01139","-99.2035345","19.3958431","13","10","3","20","3","100","76.92","23.08","153.85","23.08","0",OK,"Pino Suárez Reacomodo, 01139 Ciudad de México, CDMX, Mexico",ChIJ2ZOgosUB0oURVhH74tdio7c,APPROXIMATE,"19.3957773,-99.20392389999999",./0.png
-99.1968277,19.3963215,"alvaro Obregon,CP 01140,CDMX México",México,CDMX,alvaro Obregon,"01140","-99.19856","19.39354","900","728","172","475","72","100","80.89","19.11","52.78","8.00","0",OK,"Bellavista, 01140 Ciudad de México, CDMX, Mexico",ChIJuWmVW9oB0oURo3bURGb-yrQ,APPROXIMATE,"19.3963215,-99.1968277",./0.png
-99.1968277,19.3904296,"alvaro Obregon,CP 01150,CDMX México",México,CDMX,alvaro Obregon,"01150","-99.2026062","19.3888595","134","110","24","70","10","100","82.09","17.91","52.24","7.46","0",OK,"Col. Cristo Rey, 01150 Ciudad de México, CDMX, Mexico",ChIJ5z2sPNEB0oUR3TL55FRSsxw,APPROXIMATE,"19.3904296,-99.1968277",./0.png
-99.2113669,19.3874825,"alvaro Obregon,CP 01160,CDMX México",México,CDMX,alvaro Obregon,"01160","-99.21104","19.38812","1640","1288","352","500","59","100","78.54","21.46","30.49","3.60","0",OK,"Maria G. de García Ruiz, 01160 Ciudad de México, CDMX, Mexico",ChIJh7ykls4B0oUREzIZjyfyJ-s,APPROXIMATE,"19.3874825,-99.2113669",./0.png
-99.2058279,19.3877636,"alvaro Obregon,CP 01170,CDMX México",México,CDMX,alvaro Obregon,"01170","-99.2087398","19.3898181","143","121","22","115","17","100","84.62","15.38","80.42","11.89","0",OK,"Isidro Fabela, 01170 Ciudad de México, CDMX, Mexico",ChIJAWDaAMwB0oURZcJWyTmtJ18,APPROXIMATE,"19.3877636,-99.20582789999999",./0.png
-99.1947509,19.3868525,"alvaro Obregon,CP 01180,CDMX México",México,CDMX,alvaro Obregon,"01180","-99.1760691","19.3539926","1248","1122","126","214","37","100","89.90","10.10","17.15","2.96","0",OK,"8 de Agosto, 01180 Ciudad de México, CDMX, Mexico",ChIJ36EgtNYB0oURZUISK2giSiQ,APPROXIMATE,"19.3868525,-99.19475090000002",./0.png
-99.2158677,19.3868856,"alvaro Obregon,CP 01200,CDMX México",México,CDMX,alvaro Obregon,"01200","-99.2652743","19.3349132","65","48","17","100","6","100","73.85","26.15","153.85","9.23","0",OK,"Arturo Martínez, 01200 Ciudad de México, CDMX, Mexico",ChIJ5RTPE7QB0oURCy78iBPcr9Q,APPROXIMATE,"19.3868856,-99.21586769999999",./0.png
-99.2418386,19.382987,"alvaro Obregon,CP 01210,CDMX México",México,CDMX,alvaro Obregon,"01210","-99.25105","19.38017","1558","1434","124","706","70","100","92.04","7.96","45.31","4.49","0",OK,"Sta Fé, 01210 Ciudad de México, CDMX, Mexico",ChIJC_6NNAAB0oURGYmH9eZuA4c,APPROXIMATE,"19.382987,-99.2418386",./0.png
-99.2536148,19.3713411,"alvaro Obregon,CP 01219,CDMX México",México,CDMX,alvaro Obregon,"01219","-99.108016","19.27119","478","460","18","156","16","100","96.23","3.77","32.64","3.35","0",OK,"01219 Mexico City, CDMX, Mexico",ChIJbahxgOQA0oURVOTfzZOuRQo,APPROXIMATE,"19.3713411,-99.2536148",./0.png
-99.2155215,19.3887443,"alvaro Obregon,CP 01220,CDMX México",México,CDMX,alvaro Obregon,"01220","-99.165927","19.343592","2106","1902","204","269","34","100","90.31","9.69","12.77","1.61","0",OK,"Las Cuevitas, 01220 Ciudad de México, CDMX, Mexico",ChIJZ2AE2lEA0oURAmSDaz9jKjg,APPROXIMATE,"19.3887443,-99.2155215",./0.png
-99.2432239,19.378498,"alvaro Obregon,CP 01230,CDMX México",México,CDMX,alvaro Obregon,"01230","-99.23967","19.38089","1255","945","310","383","27","100","75.30","24.70","30.52","2.15","0",OK,"Tlapechico, 01230 Ciudad de México, CDMX, Mexico",ChIJJVb4u_0A0oURqspIZsNfBUk,APPROXIMATE,"19.378498,-99.24322389999999",./0.png
-99.2267067,19.3605334,"alvaro Obregon,CP 01239,CDMX México",México,CDMX,alvaro Obregon,"01239","-99.244562","19.377531","3","3","0","3","0","100","100.00","0.00","100.00","0.00","0",OK,"Álvaro Obregón, CDMX, Mexico",ChIJsxIUR4oA0oURW1WtnNGK-zg,APPROXIMATE,"19.3605334,-99.2267067",./0.png
-99.2382021,19.3811471,"alvaro Obregon,CP 01240,CDMX México",México,CDMX,alvaro Obregon,"01240","-99.2345291","19.3684386","11","9","2","14","0","100","81.82","18.18","127.27","0.00","0",OK,"Nuevo, 01240 Ciudad de México, CDMX, Mexico",ChIJNdHL3wEB0oURXcvWyjGdiok,APPROXIMATE,"19.3811471,-99.2382021",./0.png
-99.2362974,19.3817963,"alvaro Obregon,CP 01250,CDMX México",México,CDMX,alvaro Obregon,"01250","-99.2375927","19.3784866","800","600","200","206","7","100","75.00","25.00","25.75","0.88","0",OK,"Ladera Grande Cabadilla, 01250 Ciudad de México, CDMX, Mexico",ChIJF3P90v8A0oUREYrAOsdhxFM,APPROXIMATE,"19.3817963,-99.2362974",./0.png
-99.2324881,19.3801492,"alvaro Obregon,CP 01259,CDMX México",México,CDMX,alvaro Obregon,"01259","-99.226315","19.3841278","66","44","22","74","1","100","66.67","33.33","112.12","1.52","0",OK,"La Cebada, 01259 Ciudad de México, CDMX, Mexico",ChIJdUThPFUA0oURbJjvkkg9rXM,APPROXIMATE,"19.3801492,-99.2324881",./0.png
-99.2577715,19.3608203,"alvaro Obregon,CP 01260,CDMX México",México,CDMX,alvaro Obregon,"01260","-99.2294646","19.37601","3080","2395","685","860","47","100","77.76","22.24","27.92","1.53","0",OK,"Liberación Proletaria, 01260 Ciudad de México, CDMX, Mexico",ChIJ3cIA5foA0oUR4C5D6FhGIOM,APPROXIMATE,"19.3608203,-99.25777149999999",./0.png
-99.2276401,19.3818686,"alvaro Obregon,CP 01269,CDMX México",México,CDMX,alvaro Obregon,"01269","-99.2261361","19.3824551","136","106","30","106","5","100","77.94","22.06","77.94","3.68","0",OK,"Cañada 2da Secc, 01269 Ciudad de México, CDMX, Mexico",ChIJq6JPsKwB0oUR4P5ujL0KSK0,APPROXIMATE,"19.3818686,-99.2276401",./0.png
-99.2134442,19.380749,"alvaro Obregon,CP 01270,CDMX México",México,CDMX,alvaro Obregon,"01270","-99.21539","19.37787","3864","2880","984","1051","78","100","74.53","25.47","27.20","2.02","0",OK,"Golondrinas 1ra Amp, 01270 Ciudad de México, CDMX, Mexico",ChIJyVIf-koA0oURPDiJnOrIMiU,APPROXIMATE,"19.380749,-99.2134442",./0.png
-99.2267067,19.3605334,"alvaro Obregon,CP 01275,CDMX México",México,CDMX,alvaro Obregon,"01275","-99.21936","19.38334","24","17","7","27","1","100","70.83","29.17","112.50","4.17","0",OK,"Álvaro Obregón, CDMX, Mexico",ChIJsxIUR4oA0oURW1WtnNGK-zg,APPROXIMATE,"19.3605334,-99.2267067",./0.png
-99.2267067,19.3605334,"alvaro Obregon,CP 01276,CDMX México",México,CDMX,alvaro Obregon,"01276","-99.240325","19.380376","15","11","4","21","2","100","73.33","26.67","140.00","13.33","0",OK,"Álvaro Obregón, CDMX, Mexico",ChIJsxIUR4oA0oURW1WtnNGK-zg,APPROXIMATE,"19.3605334,-99.2267067",./0.png
-99.2267067,19.3605334,"alvaro Obregon,CP 01278,CDMX México",México,CDMX,alvaro Obregon,"01278","-99.220483","19.382","142","98","44","255","17","100","69.01","30.99","179.58","11.97","0",OK,"Álvaro Obregón, CDMX, Mexico",ChIJsxIUR4oA0oURW1WtnNGK-zg,APPROXIMATE,"19.3605334,-99.2267067",./0.png
-99.2155215,19.3843257,"alvaro Obregon,CP 01279,CDMX México",México,CDMX,alvaro Obregon,"01279","-99.2155471","19.3830236","403","298","105","594","54","100","73.95","26.05","147.39","13.40","0",OK,"Lomas de Becerra, 01279 Ciudad de México, CDMX, Mexico",ChIJCV8MgLMB0oURFFEmyERvVvo,APPROXIMATE,"19.3843257,-99.2155215",./0.png
-99.2051355,19.3841165,"alvaro Obregon,CP 01280,CDMX México",México,CDMX,alvaro Obregon,"01280","-99.0888818","19.3744697","3668","2780","888","1288","93","100","75.79","24.21","35.11","2.54","0",OK,"Arvide, 01280 Ciudad de México, CDMX, Mexico",ChIJrZmDWMsB0oURkms4vmtqvAA,APPROXIMATE,"19.3841165,-99.2051355",./0.png
-99.2087705,19.3804339,"alvaro Obregon,CP 01285,CDMX México",México,CDMX,alvaro Obregon,"01285","-99.12304","19.22491","8","4","4","7","0","100","50.00","50.00","87.50","0.00","0",OK,"El Rodeo, 01285 Ciudad de México, CDMX, Mexico",ChIJFapu5TQA0oURULrCzzlzjGY,APPROXIMATE,"19.3804339,-99.2087705",./0.png
-99.2267067,19.3605334,"alvaro Obregon,CP 01289,CDMX México",México,CDMX,alvaro Obregon,"01289","-99.273555","19.339357","78","48","30","129","15","100","61.54","38.46","165.38","19.23","0",OK,"Álvaro Obregón, CDMX, Mexico",ChIJsxIUR4oA0oURW1WtnNGK-zg,APPROXIMATE,"19.3605334,-99.2267067",./0.png
-99.2321418,19.3716982,"alvaro Obregon,CP 01290,CDMX México",México,CDMX,alvaro Obregon,"01290","-99.233829","19.3690694","1404","1094","310","1188","92","100","77.92","22.08","84.62","6.55","0",OK,"Piloto Adolfo López Mateos, 01290 Ciudad de México, CDMX, Mexico",ChIJrZk3qlcA0oUR3z1qRu0Zl4A,APPROXIMATE,"19.3716982,-99.2321418",./0.png
-99.2321418,19.3775894,"alvaro Obregon,CP 01296,CDMX México",México,CDMX,alvaro Obregon,"01296","-99.13761","19.22755","1341","990","351","845","69","100","73.83","26.17","63.01","5.15","0",OK,"Jalalpa Calzada, 01296 Ciudad de México, CDMX, Mexico",ChIJFyJhufgA0oUREARTMBSUfdo,APPROXIMATE,"19.3775894,-99.2321418",./0.png
-99.2266013,19.3705071,"alvaro Obregon,CP 01298,CDMX México",México,CDMX,alvaro Obregon,"01298","-99.13905","19.22192","61","48","13","92","8","100","78.69","21.31","150.82","13.11","0",OK,"Piloto Adolfo López Mateos, 01298 Ciudad de México, CDMX, Mexico",ChIJ71jTTVAA0oURkkYsaazJz5I,APPROXIMATE,"19.3705071,-99.2266013",./0.png
-99.2272939,19.3741539,"alvaro Obregon,CP 01299,CDMX México",México,CDMX,alvaro Obregon,"01299","-99.2276","19.3713","108","76","32","73","6","100","70.37","29.63","67.59","5.56","0",OK,"Presidentes, 01299 Ciudad de México, CDMX, Mexico",ChIJYdCyLlIA0oURZqJ-hZej6v0,APPROXIMATE,"19.3741539,-99.2272939",./0.png
-99.2456483,19.383161,"alvaro Obregon,CP 01310,CDMX México",México,CDMX,alvaro Obregon,"01310","-99.6529872","19.3529879","22","21","1","11","0","100","95.45","4.55","50.00","0.00","0",OK,"Casa del Agrónomo, 01310 Ciudad de México, CDMX, Mexico",ChIJ4y2XJR0B0oURW2LZgnbnVs4,APPROXIMATE,"19.383161,-99.2456483",./0.png
-99.2504974,19.3792319,"alvaro Obregon,CP 01320,CDMX México",México,CDMX,alvaro Obregon,"01320","-99.25187","19.378581","91","74","17","81","3","100","81.32","18.68","89.01","3.30","0",OK,"Santa Fe, Carlos A. Madrazo, 01320 Ciudad de México, CDMX, Mexico",ChIJ3QUBGeIA0oURgW4yWkehk_c,APPROXIMATE,"19.3792319,-99.2504974",./0.png
-99.2681642,19.3698625,"alvaro Obregon,CP 01330,CDMX México",México,CDMX,alvaro Obregon,"01330","-99.26862","19.37299","344","332","12","113","17","100","96.51","3.49","32.85","4.94","0",OK,"Paseo de las Lomas, 01330 Ciudad de México, CDMX, Mexico",ChIJXfskjNoA0oURKpw8O_TguEA,APPROXIMATE,"19.3698625,-99.26816420000002",./0.png
-99.2456483,19.3809519,"alvaro Obregon,CP 01340,CDMX México",México,CDMX,alvaro Obregon,"01340","-99.2451778","19.3805505","46","39","7","57","6","100","84.78","15.22","123.91","13.04","0",OK,"Bejero, 01340 Ciudad de México, CDMX, Mexico",ChIJT2vuRB0B0oURi7T7XUGQVms,APPROXIMATE,"19.3809519,-99.2456483",./0.png
